,0
0,circle
1,rectangle
2,circle
3,circle
4,circle
5,circle
6,line
7,line
8,circle
9,line
10,rectangle
11,circle
12,rectangle
13,rectangle
14,circle
15,rectangle
16,circle
17,circle
18,rectangle
19,line
20,rectangle
21,circle
22,rectangle
23,line
24,circle
25,circle
26,rectangle
27,circle
28,rectangle
29,circle
30,rectangle
31,rectangle
32,line
33,circle
34,rectangle
35,line
36,line
37,circle
38,line
39,rectangle
40,circle
41,line
42,rectangle
43,line
44,rectangle
45,circle
46,rectangle
47,rectangle
48,line
49,circle
50,circle
51,line
52,circle
53,circle
54,line
55,circle
56,rectangle
57,line
58,circle
59,line
60,rectangle
61,line
62,circle
63,line
64,line
65,circle
66,rectangle
67,circle
68,circle
69,rectangle
70,line
71,circle
72,rectangle
73,line
74,circle
75,circle
76,rectangle
77,circle
78,circle
79,rectangle
80,circle
81,line
82,circle
83,line
84,line
85,rectangle
86,circle
87,circle
88,line
89,rectangle
90,line
91,line
92,circle
93,rectangle
94,rectangle
95,line
96,line
97,line
98,line
99,rectangle
100,rectangle
101,line
102,line
103,circle
104,rectangle
105,line
106,line
107,circle
108,rectangle
109,rectangle
110,rectangle
111,circle
112,line
113,line
114,rectangle
115,circle
116,circle
117,circle
118,rectangle
119,line
120,rectangle
121,rectangle
122,rectangle
123,circle
124,rectangle
125,circle
126,circle
127,rectangle
128,rectangle
129,rectangle
130,rectangle
131,circle
132,line
133,circle
134,line
135,line
136,circle
137,line
138,line
139,rectangle
140,circle
141,line
142,rectangle
143,line
144,line
145,line
146,line
147,rectangle
148,circle
149,line
150,circle
151,line
152,rectangle
153,circle
154,circle
155,line
156,line
157,line
158,circle
159,line
160,line
161,line
162,line
163,rectangle
164,circle
165,rectangle
166,circle
167,line
168,rectangle
169,line
170,circle
171,circle
172,rectangle
173,circle
174,circle
175,rectangle
176,line
177,rectangle
178,line
179,line
180,rectangle
181,circle
182,line
183,rectangle
184,line
185,circle
186,rectangle
187,rectangle
188,rectangle
189,circle
190,line
191,circle
192,circle
193,rectangle
194,circle
195,rectangle
196,line
197,circle
198,rectangle
199,circle
200,rectangle
201,line
202,circle
203,line
204,rectangle
205,line
206,line
207,rectangle
208,line
209,circle
210,rectangle
211,rectangle
212,circle
213,rectangle
214,circle
215,circle
216,line
217,line
218,circle
219,rectangle
220,rectangle
221,rectangle
222,line
223,rectangle
224,circle
225,circle
226,circle
227,rectangle
228,circle
229,circle
230,rectangle
231,circle
232,rectangle
233,rectangle
234,circle
235,circle
236,line
237,rectangle
238,rectangle
239,rectangle
240,circle
241,rectangle
242,line
243,circle
244,circle
245,circle
246,circle
247,rectangle
248,line
249,circle
250,circle
251,line
252,rectangle
253,circle
254,circle
255,rectangle
256,rectangle
257,line
258,rectangle
259,rectangle
260,circle
261,line
262,rectangle
263,line
264,circle
265,circle
266,rectangle
267,circle
268,rectangle
269,rectangle
270,circle
271,line
272,line
273,line
274,rectangle
275,rectangle
276,line
277,circle
278,rectangle
279,line
280,rectangle
281,rectangle
282,rectangle
283,circle
284,circle
285,line
286,line
287,circle
288,circle
289,rectangle
290,circle
291,rectangle
292,rectangle
293,circle
294,circle
295,rectangle
296,rectangle
297,circle
298,rectangle
299,line
300,line
301,rectangle
302,line
303,rectangle
304,line
305,circle
306,circle
307,line
308,rectangle
309,circle
310,line
311,rectangle
312,circle
313,circle
314,rectangle
315,line
316,circle
317,rectangle
318,rectangle
319,circle
320,circle
321,line
322,line
323,rectangle
324,rectangle
325,line
326,circle
327,line
328,rectangle
329,line
330,line
331,rectangle
332,line
333,line
334,circle
335,line
336,circle
337,rectangle
338,rectangle
339,rectangle
340,line
341,rectangle
342,circle
343,line
344,circle
345,line
346,rectangle
347,line
348,line
349,line
350,line
351,line
352,rectangle
353,line
354,circle
355,circle
356,line
357,circle
358,rectangle
359,line
360,line
361,rectangle
362,line
363,rectangle
364,rectangle
365,circle
366,circle
367,circle
368,rectangle
369,line
370,line
371,circle
372,circle
373,rectangle
374,circle
375,line
376,line
377,rectangle
378,rectangle
379,line
380,line
381,rectangle
382,rectangle
383,line
384,circle
385,circle
386,rectangle
387,circle
388,rectangle
389,line
390,line
391,line
392,line
393,line
394,line
395,rectangle
396,circle
397,line
398,rectangle
399,circle
