Detector threshold: 0.9999
Model Name: stream2_lb_classifier.h5
imageid, boundingbox_id, IOU, sourceimage
0,330,0.0,Frame-00094.png
0,895,0.2459016393442623,Frame-00094.png
0,1970,-0.0,Frame-00094.png
0,2327,0.0,Frame-00094.png
0,2726,0.48283293697978596,Frame-00094.png
0,2901,0.07886112249078246,Frame-00094.png
0,-1,0.0,Frame-00094.png
0,-1,0.0,Frame-00094.png
1,1154,0.0,Frame-00217.png
1,1536,-0.0,Frame-00217.png
1,2250,0.3315169541939322,Frame-00217.png
1,2980,-0.0,Frame-00217.png
1,-1,0.0,Frame-00217.png
2,1589,0.7813023855577047,Frame-00351.png
2,1635,-0.0,Frame-00351.png
2,2003,0.13838717883490206,Frame-00351.png
2,2232,0.016160249982510554,Frame-00351.png
2,2987,-0.0,Frame-00351.png
3,1350,-0.0,Frame-00431.png
3,1500,0.2837708830548926,Frame-00431.png
3,1583,0.10049696300386526,Frame-00431.png
3,1631,0.6254014598540146,Frame-00431.png
3,1810,0.013556469708302168,Frame-00431.png
3,2983,0.41008271534512264,Frame-00431.png
3,3140,0.08370738808686158,Frame-00431.png
4,1996,0.0,Frame-00527.png
4,2027,0.0,Frame-00527.png
4,2125,0.45491969066032123,Frame-00527.png
4,2184,0.24644838158541438,Frame-00527.png
4,2254,0.0,Frame-00527.png
4,3181,0.0,Frame-00527.png
4,-1,0.0,Frame-00527.png
5,544,-0.0,Frame-00871.png
5,634,0.0,Frame-00871.png
5,902,0.010523678276121273,Frame-00871.png
5,1086,0.18738845925044617,Frame-00871.png
5,1286,0.47597124626443743,Frame-00871.png
5,1378,-0.0,Frame-00871.png
5,1396,-0.0,Frame-00871.png
5,1842,-0.0,Frame-00871.png
5,2409,0.0,Frame-00871.png
5,2544,0.0,Frame-00871.png
5,3099,0.0,Frame-00871.png
5,-1,0.0,Frame-00871.png
6,1283,-0.0,Frame-00923.png
6,1379,0.0,Frame-00923.png
6,2252,0.0,Frame-00923.png
6,2426,0.49732705234743024,Frame-00923.png
7,729,-0.0,Frame-00949.png
7,1038,0.472190168474498,Frame-00949.png
7,1886,0.0,Frame-00949.png
7,2184,0.35645449137418206,Frame-00949.png
7,3181,0.0,Frame-00949.png
7,-1,0.0,Frame-00949.png
7,-1,0.0,Frame-00949.png
7,-1,0.0,Frame-00949.png
8,1040,0.8404942431901151,Frame-01038.png
8,2162,0.3958834027364664,Frame-01038.png
8,3017,0.08695005945303211,Frame-01038.png
8,3182,0.0,Frame-01038.png
